0.543325	0.535145	-0.646853	3.24	#d4dfff	The1Eri
0.543304	0.535170	-0.646849	4.35	#d4dfff	The2Eri
0.698255	0.712288	0.071318	2.53	#ffd68b	92Alp Cet
0.411647	0.429249	0.803923	2.93	#fff6ee	23Gam Per
0.641050	0.654571	-0.400740	4.09	#d4dfff	11Tau3Eri
0.538184	0.563062	0.627152	3.39	#ffd68b	25Rho Per
0.514652	0.552710	0.655473	2.12	#bbcbff	26Bet Per
0.439686	0.475927	0.761689	4.05	#fff6ee	Iot Per
0.480050	0.521578	0.705342	3.80	#ffdbb3	27Kap Per
0.630990	0.698514	0.337533	4.35	#ffdbb3	57Del Ari
0.585106	0.650234	-0.484610	3.87	#f9f8ff	Alp For
0.560938	0.670517	0.485547	4.47	#ffdbb3	HR 999
0.598494	0.710210	-0.370684	3.69	#ffd68b	16Tau4Eri
0.469746	0.559466	-0.682888	4.27	#fff6ee	HR1008
0.404980	0.501553	0.764484	1.79	#f9f8ff	33Alp Per
0.618795	0.769718	0.156932	3.60	#fff6ee	1Omi Tau
0.306543	0.396150	0.865504	4.21	#bbcbff	HR1035
0.609609	0.774466	0.169053	3.74	#bbcbff	2Xi  Tau
0.406045	0.531926	0.743090	4.36	#ffdbb3	35Sig Per
0.590359	0.775472	0.223874	4.11	#ffdbb3	5    Tau
0.590432	0.790181	-0.164330	3.73	#ffdbb3	18Eps Eri
0.390679	0.540149	0.745392	4.23	#bbcbff	37Psi Per
0.553617	0.746727	-0.368656	4.27	#bbcbff	19Tau5Eri
0.584684	0.811231	0.007010	4.28	#f9f8ff	10    Tau
0.378320	0.555247	0.740658	3.01	#bbcbff	39Del Per
0.471751	0.701500	0.534180	3.83	#bbcbff	38Omi Per
0.408577	0.612597	0.676601	3.77	#f9f8ff	41Nu  Per
0.553771	0.815219	-0.169579	3.54	#ffdbb3	23Del Eri
0.507504	0.758638	0.408543	3.70	#bbcbff	17    Tau
0.504991	0.757262	0.414173	4.30	#bbcbff	19    Tau
0.503342	0.759219	0.412592	3.87	#bbcbff	20    Tau
0.223323	0.348932	0.910150	4.47	#ffd68b	HR1155
0.503335	0.762816	0.405913	4.18	#bbcbff	23    Tau
0.539167	0.815688	-0.209647	4.42	#ffd68b	26Pi  Eri
0.498865	0.764418	0.408410	2.87	#bbcbff	25Eta Tau
0.504276	0.768040	-0.394739	4.23	#f9f8ff	27Tau6Eri
0.237723	0.353104	-0.904879	3.85	#ffdbb3	Bet Ret
0.493458	0.768357	0.407587	3.63	#bbcbff	27    Tau
0.435195	0.679548	-0.590610	4.17	#fff6ee	HR1195
0.443250	0.724251	0.528195	2.85	#bbcbff	44Zet Per
0.148695	0.227313	-0.962403	3.24	#ffd68b	Gam Hyi
0.389161	0.659698	0.642925	2.89	#bbcbff	45Eps Per
0.408746	0.700642	0.584832	4.04	#afbfff	46Xi  Per
0.493387	0.837857	-0.233591	2.95	#ffd68b	34Gam Eri
0.485656	0.846974	0.216274	3.47	#bbcbff	35Lam Tau
0.485361	0.868066	0.104340	3.91	#d4dfff	38Nu  Tau
0.446788	0.811822	0.375932	4.36	#ffdbb3	37    Tau
0.303036	0.561527	0.769972	4.29	#d4dfff	47Lam Per
0.314168	0.595002	0.739778	4.04	#bbcbff	48    Per
0.451283	0.884404	-0.119054	4.04	#f9f8ff	38Omi1Eri
0.293857	0.595217	0.747907	4.14	#fff6ee	51Mu  Per
0.434903	0.887111	0.154576	4.29	#bbcbff	49Mu  Tau
0.437295	0.889404	-0.133169	4.43	#ffdbb3	40Omi2Eri
0.330046	0.661982	-0.672941	3.86	#ffdbb3	Alp Hor
0.205444	0.413978	-0.886800	3.35	#fff6ee	Alp Ret
0.272907	0.559708	-0.782463	4.25	#f9f8ff	Gam Dor
0.407782	0.872437	0.269382	3.65	#ffdbb3	54Gam Tau
0.358099	0.749885	-0.556271	3.56	#bbcbff	41Ups4Eri
0.222830	0.459316	-0.859870	4.44	#ffdbb3	Eps Ret
0.391864	0.869248	0.301413	3.76	#ffdbb3	61Del1Tau
0.371280	0.847490	0.379357	4.22	#d4dfff	65Kap1Tau
0.381328	0.871685	0.307823	4.29	#d4dfff	68Del3Tau
0.366418	0.845813	0.387735	4.28	#d4dfff	69Ups Tau
0.337012	0.757266	-0.559438	3.96	#ffdbb3	43    Eri
0.382689	0.883779	0.269228	4.49	#f9f8ff	71    Tau
0.366701	0.870397	0.328542	3.53	#fff6ee	74Eps Tau
0.373444	0.885953	0.275003	3.84	#ffdbb3	77The1Tau
0.373279	0.886497	0.273470	3.40	#d4dfff	78The2Tau
0.267261	0.702553	0.659539	4.25	#ffdbb3	58    Per
0.343906	0.894973	0.284169	0.85	#ffdbb3	87Alp Tau
0.354130	0.918407	0.176412	4.25	#d4dfff	88    Tau
0.356460	0.932479	-0.058479	3.93	#bbcbff	48Nu  Eri
0.310160	0.803278	-0.508474	3.82	#fff6ee	52Ups2Eri
0.209988	0.533064	-0.819602	3.27	#d4dfff	Alp Dor
0.341260	0.914667	0.216624	4.27	#d4dfff	90    Tau
0.338638	0.907901	-0.247065	3.87	#ffdbb3	53    Eri
0.320353	0.885468	-0.336630	4.32	#ffd68b	54    Eri
0.306441	0.868311	0.390039	4.28	#bbcbff	94Tau Tau
0.252998	0.700442	-0.667363	4.45	#f9f8ff	Alp Cae
0.318851	0.946103	-0.056775	4.02	#bbcbff	57Mu  Eri
0.113881	0.384765	0.915962	4.29	#afbfff	9Alp Cam
0.299150	0.946478	0.121200	3.19	#f9f8ff	1Pi 3Ori
0.294569	0.943023	0.154715	4.36	#d4dfff	2Pi 2Ori
0.294267	0.950720	0.097670	3.69	#bbcbff	3Pi 4Ori
0.287329	0.953107	-0.095025	4.39	#f9f8ff	61Ome Eri
0.282706	0.958261	0.042583	3.72	#bbcbff	8Pi 5Ori
0.159785	0.569279	0.806468	4.47	#d4dfff	7    Cam
0.227243	0.805653	0.547068	2.69	#ffdbb3	3Iot Aur
0.266489	0.935079	0.233690	4.07	#ffdbb3	9Omi2Ori
0.264813	0.963836	0.029913	4.47	#ffdbb3	10Pi 6Ori
0.120555	0.478343	0.869859	4.03	#fff6ee	10Bet Cam
0.180740	0.698473	0.692437	2.99	#f9f8ff	7Eps Aur
0.187223	0.730221	0.657057	3.75	#ffdbb3	8Zet Aur
